day,S,I,R,D
0,999998,2,0,0
1,999997,3,0,0
2,999995,5,0,0
3,999992,8,0,0
4,999989,11,0,0
5,999984,16,0,0
6,999978,21,0,1
7,999969,28,1,2
8,999960,36,1,3
9,999949,45,2,4
10,999938,53,4,5
11,999928,59,7,6
12,999912,71,10,7
13,999897,81,14,8
14,999879,93,19,9
15,999862,104,24,10
16,999841,117,31,11
17,999822,125,41,12
18,999799,137,51,13
19,999774,151,61,14
20,999750,162,73,15
21,999725,174,85,16
22,999699,186,97,18
23,999671,200,109,20
24,999642,215,121,22
25,999616,225,134,25
26,999589,236,147,28
27,999557,250,163,30
28,999525,260,182,33
29,999492,270,201,37
30,999463,272,224,41
31,999429,281,245,45
32,999392,291,268,49
33,999352,301,294,53
34,999310,312,322,56
35,999269,320,352,59
36,999227,328,382,63
37,999188,331,414,67
38,999145,342,441,72
39,999109,344,470,77
40,999074,341,504,81
41,999030,355,531,84
42,998982,372,559,87
43,998936,383,591,90
44,998893,392,622,93
45,998846,404,654,96
46,998796,418,688,98
47,998739,440,721,100
48,998680,461,757,102
49,998619,481,796,104
50,998558,501,835,106
51,998495,518,879,108
52,998432,533,924,111
53,998369,545,971,115
54,998307,555,1017,121
55,998242,566,1066,126
56,998178,577,1115,130
57,998106,591,1167,136
58,998035,599,1224,142
59,997968,608,1276,148
60,997897,625,1324,154
61,997824,636,1380,160
62,997745,647,1442,166
63,997668,658,1503,171
64,997594,658,1572,176
65,997520,657,1642,181
66,997443,662,1710,185
67,997370,665,1775,190
68,997291,680,1834,195
69,997211,699,1890,200
70,997123,725,1947,205
71,997032,749,2009,210
72,996942,765,2078,215
73,996845,781,2153,221
74,996750,794,2229,227
75,996659,802,2307,232
76,996563,814,2384,239
77,996471,810,2474,245
78,996382,805,2560,253
79,996290,804,2645,261
80,996193,812,2725,270
81,996086,827,2808,279
82,995987,831,2893,289
83,995891,837,2975,297
84,995794,848,3054,304
85,995688,870,3131,311
86,995574,899,3210,317
87,995469,913,3294,324
88,995358,928,3382,332
89,995245,940,3474,341
90,995132,946,3570,352
91,995022,949,3667,362
92,994914,953,3761,372
93,994800,967,3851,382
94,994695,964,3948,393
95,994587,971,4041,401
96,994467,976,4146,411
97,994357,973,4247,423
98,994242,977,4347,434
99,994125,984,4446,445
100,994008,984,4552,456
101,993887,996,4651,466
102,993764,1012,4748,476
103,993635,1034,4846,485
104,993513,1044,4949,494
105,993383,1063,5051,503
106,993256,1074,5157,513
107,993126,1097,5256,521
108,992997,1120,5353,530
109,992868,1135,5454,543
110,992745,1138,5561,556
111,992622,1133,5678,567
112,992496,1139,5786,579
113,992366,1149,5895,590
114,992242,1150,6005,603
115,992117,1154,6115,614
116,991986,1164,6225,625
117,991853,1171,6339,637
118,991701,1195,6454,650
119,991551,1217,6565,667
120,991403,1224,6690,683
121,991259,1234,6810,697
122,991104,1257,6928,711
123,990964,1259,7054,723
124,990806,1282,7178,734
125,990653,1287,7316,744
126,990509,1281,7456,754
127,990347,1294,7595,764
128,990186,1296,7743,775
129,990027,1299,7887,787
130,989874,1290,8036,800
131,989723,1289,8175,813
132,989569,1293,8312,826
133,989404,1307,8451,838
134,989240,1319,8590,851
135,989076,1331,8731,862
136,988920,1342,8866,872
137,988763,1349,9004,884
138,988607,1352,9144,897
139,988443,1364,9282,911
140,988287,1366,9421,926
141,988117,1379,9564,940
142,987954,1381,9709,956
143,987783,1394,9854,969
144,987608,1413,10000,979
145,987430,1439,10142,989
146,987251,1470,10279,1000
147,987069,1501,10418,1012
148,986890,1528,10558,1024
149,986701,1548,10715,1036
150,986518,1560,10871,1051
151,986326,1575,11033,1066
152,986131,1588,11201,1080
153,985931,1606,11368,1095
154,985731,1615,11543,1111
155,985540,1612,11722,1126
156,985346,1613,11902,1139
157,985154,1603,12090,1153
158,984960,1607,12267,1166
159,984763,1620,12437,1180
160,984567,1618,12618,1197
161,984366,1633,12784,1217
162,984155,1663,12949,1233
163,983960,1673,13116,1251
164,983770,1672,13292,1266
165,983567,1692,13460,1281
166,983365,1706,13632,1297
167,983162,1711,13814,1313
168,982958,1723,13991,1328
169,982761,1731,14166,1342
170,982552,1752,14339,1357
171,982344,1764,14519,1373
172,982132,1779,14699,1390
173,981925,1795,14876,1404
174,981725,1797,15059,1419
175,981524,1801,15240,1435
176
