day,S,I,R,D
0,999997,3,0,0
1,999993,5,2,0
2,999991,7,2,0
3,999986,12,2,0
4,999981,15,4,0
5,999976,20,4,0
6,999968,26,6,0
7,999954,39,6,1
8,999943,46,9,2
9,999932,55,11,2
10,999920,64,13,3
11,999908,73,16,3
12,999901,72,23,4
13,999886,79,30,5
14,999872,82,40,6
15,999858,87,47,8
16,999836,97,59,8
17,999811,113,68,8
18,999784,131,77,8
19,999757,142,90,11
20,999733,147,106,14
21,999707,152,124,17
22,999676,172,134,18
23,999646,182,153,19
24,999607,204,170,19
25,999569,221,188,22
26,999525,233,216,26
27,999483,255,236,26
28,999434,275,262,29
29,999404,267,295,34
30,999363,275,326,36
31,999316,286,359,39
32,999266,311,381,42
33,999220,323,413,44
34,999174,329,448,49
35,999141,324,483,52
36,999096,337,514,53
37,999052,331,562,55
38,999008,336,599,57
39,998963,345,631,61
40,998916,354,668,62
41,998857,361,709,73
42,998789,383,747,81
43,998738,387,790,85
44,998686,400,825,89
45,998623,416,868,93
46,998563,429,910,98
47,998509,441,950,100
48,998452,458,988,102
49,998400,459,1035,106
50,998334,463,1093,110
51,998269,471,1146,114
52,998217,464,1200,119
53,998163,468,1248,121
54,998103,465,1308,124
55,998043,479,1350,128
56,997984,485,1401,130
57,997910,498,1455,137
58,997842,514,1503,141
59,997773,537,1544,146
60,997698,552,1601,149
61,997621,562,1665,152
62,997537,581,1726,156
63,997444,591,1799,166
64,997369,599,1860,172
65,997275,634,1919,172
66,997178,657,1983,182
67,997083,685,2046,186
68,996992,699,2113,196
69,996897,723,2176,204
70,996803,730,2256,211
71,996708,756,2322,214
72,996622,754,2401,223
73,996538,767,2462,233
74,996438,784,2540,238
75,996335,803,2619,243
76,996239,814,2696,251
77,996149,815,2778,258
78,996044,821,2870,265
79,995940,831,2957,272
80,995831,860,3022,287
81,995723,866,3112,299
82,995618,868,3205,309
83,995499,909,3273,319
84,995388,918,3365,329
85,995270,949,3442,339
86,995164,958,3527,351
87,995048,961,3627,364
88,994936,960,3731,373
89,994808,982,3829,381
90,994692,983,3932,393
91,994558,1012,4030,400
92,994439,1019,4131,411
93,994323,1035,4226,416
94,994205,1033,4335,427
95,994074,1056,4428,442
96,993938,1060,4547,455
97,993791,1088,4655,466
98,993649,1103,4773,475
99,993505,1121,4889,485
100,993380,1115,5012,493
101,993226,1128,5138,508
102,993079,1155,5243,523
103,992922,1185,5357,536
104,992767,1190,5493,550
105,992618,1210,5615,557
106,992471,1223,5734,572
107,992333,1211,5877,579
108,992171,1253,5989,587
109,992019,1266,6121,594
110,991868,1268,6262,602
111,991715,1280,6392,613
112,991548,1299,6520,633
113,991389,1303,6660,648
114,991228,1343,6767,662
115,991062,1354,6909,675
116,990892,1376,7040,692
117,990688,1447,7164,701
118,990508,1482,7295,715
119,990317,1499,7447,737
120,990146,1497,7607,750
121,989982,1507,7745,766
122,989799,1522,7897,782
123,989608,1531,8064,797
124,989420,1548,8217,815
125,989256,1568,8341,835
126,989097,1548,8501,854
127,988917,1569,8642,872
128,988739,1581,8790,890
129,988551,1609,8933,907
130,988343,1632,9109,916
131,988140,1651,9279,930
132,987950,1656,9452,942
133,987765,1670,9611,954
134,987577,1683,9770,970
135,987392,1675,9943,990
136,987185,1689,10117,1009
137,986996,1711,10270,1023
138,986802,1703,10452,1043
139,986616,1688,10632,1064
140,986402,1708,10810,1080
141,986215,1679,11002,1104
142,986017,1675,11185,1123
143,985808,1696,11356,1140
144,985584,1718,11544,1154
145,985377,1724,11723,1176
146,985171,1739,11891,1199
147,984955,1756,12067,1222
148,984759,1774,12230,1237
149,984550,1772,12424,1254
150,984328,1792,12611,1269
151,984100,1822,12785,1293
152,983883,1841,12965,1311
153,983665,1863,13129,1343
154,983467,1844,13323,1366
155,983252,1850,13511,1387
156,983045,1826,13715,1414
157,982824,1845,13895,1436
158,982613,1857,14080,1450
159,982386,1878,14270,1466
160,982148,1906,14463,1483
161,981912,1909,14680,1499
162,981675,1914,14881,1530
163,981427,1955,15073,1545
164,981196,1961,15275,1568
165,980945,2019,15446,1590
166,980685,2056,15645,1614
167,980440,2075,15848,1637
168,980180,2094,16070,1656
169,979925,2117,16276,1682
170,979686,2151,16462,1701
171,979472,2108,16688,1732
172,979226,2112,16908,1754
173,978981,2145,17105,1769
174,978737,2129,17345,1789
175,978485,2159,17548,1808
176,978216,2193,17764,1827
177,977954,2220,17977,1849
178,977693,2228,18205,1874
179,977438,2241,18416,1905
180,977194,2244,18633,1929
181,976949,2234,18866,1951
182,976689,2263,19076,1972
183,976424,2245,19332,1999
184,976170,2294,19519,2017
185,975876,2322,19762,2040
186,975638,2303,20004,2055
187,975392,2311,20219,2078
188,975143,2300,20458,2099
189,974866,2341,20667,2126
190,974605,2352,20896,2147
191,974326,2357,21149,2168
192,974027,2386,21393,2194
193,973756,2360,21664,2220
194,973487,2360,21912,2241
195,973218,2348,22165,2269
196,972966,2348,22391,2295
197,972691,2365,22631,2313
198,972401,2406,22850,2343
199,972130,2430,23073,2367
200,971846,2467,23299,2388
201,971574,2487,23537,2402
202,971300,2491,23781,2428
203,971006,2536,24008,2450
204,970704,2546,24275,2475
205,970414,2566,24525,2495
206,970119,2559,24792,2530
207,969845,2536,25059,2560
208,969567,2528,25316,2589
209,969271,2542,25581,2606
210,968983,2558,25834,2625
211,968685,2610,26054,2651
212,968393,2627,26311,2669
213,968071,2659,26577,2693
214,967745,2732,26804,2719
215,967446,2729,27083,2742
216,967125,2745,27369,2761
217,966823,2740,27650,2787
218,966520,2756,27915,2809
219,966205,2771,28194,2830
220,965883,2792,28472,2853
221,965565,2791,28766,2878
222,965243,2822,29039,2896
223,964912,2823,29345,2920
224,964591,2841,29613,2955
225,964284,2827,29909,2980
226,963959,2809,30226,3006
227,963637,2821,30508,3034
228,963315,2838,30792,3055
229,962972,2855,31101,3072
230,962646,2842,31408,3104
231,962321,2829,31722,3128
232,961983,2850,32008,3159
233,961641,2901,32278,3180
234,961310,2928,32559,3203
235,960977,2974,32823,3226
236,960642,2979,33123,3256
237,960332,2958,33428,3282
238,959991,2972,33721,3316
239,959638,3020,33999,3343
240,959259,3100,34264,3377
241,958884,3156,34555,3405
242,958503,3206,34852,3439
243,958136,3230,35163,3471
244,957799,3228,35477,3496
245,957445,3217,35811,3527
246,957082,3223,36118,3577
247,956690,3271,36436,3603
248,956338,3267,36758,3637
249,955973,3262,37103,3662
250,955616,3247,37443,3694
251,955243,3259,37765,3733
252,954896,3237,38103,3764
253,954534,3243,38415,3808
254,954166,3276,38709,3849
255,953792,3314,39019,3875
256,953416,3329,39345,3910
257,953019,3329,39700,3952
258,952627,3327,40061,3985
